"ID","Item title","Final URL","Image URL","Item description","Price"
"7885771899063","2u1 Edukativna Dečija Sudopera","https://www.poklonizadecu.com/products/2u1-decija-sudopera-sa-vodom","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/Imagead1_4.png?v=1729890894","SVAKO DETE VOLI DA SE IGRA SA VODOM! Satima će držati pažnju detetu. ✓ Stvara radne navike. ✓ Razvija osećaj za obaveze. ✓ Savršen poklon za mališane. ✓ IZ SLAVINE ZAISTA TEČE VODA - Sipajte običnu vodu u sudoperu. - - Sudopera radi na principu pumpe. - - Izvlači vodu iz donjeg dela. - - Voda teče k","2490.00 RSD"
"7875780608183","3D Magnetni set kocki sa toboganima-razvija kreativnost","https://www.poklonizadecu.com/products/magnetne-kocke-73-delova-razvija-kreativnost-i-zabavu","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/3d-magnetne-kocke-set-poklonizadecu.png?v=1781876932","MAGNETNI SET 73 DELA – 3D SVET KREATIVNOSTI ZA DECU I RODITELJE! Zajednički trenuci sa decom nikada nisu bili zabavniji! Uronite u svet mašte i kreativnosti sa ovim magnetnim kockama i toboganima u 3D obliku , savršenim za decu i roditelje. 🌈 RAZVIJA KREATIVNOST I VEŠTINE Više boja i različiti oblic","2490.00 RSD"
"7910273515703","3D Magnetni set za igru i učenje","https://www.poklonizadecu.com/products/3d-magicni-set-za-igru-i-ucenje","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/4_a9280cb7-17e9-4a89-aa63-a31465d34f40.png?v=1734354680","MAGNETNI SET ZA GRAĐENJE - 60 DELOVA 🎨 Kreativna zabava za decu svih uzrasta! Razvijajte STEM veštine kroz igru i maštovite konstrukcije. ✓ Savršeno za razvijanje koordinacije, motorike i strpljenja. ✓ SIGURNA I KVALITETNA IGRAČKA ✔ Napravljeno od visokokvalitetnog, netoksičnog ABS materijala. ✔ Zao","1590.00 RSD"
"7734537715895","3u1 rgb led lampa-punjač i blutut zvučnik","https://www.poklonizadecu.com/products/3u1-rgb-led-lampa-punjac-i-blutut-zvucnik","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/6_1e1a1051-845b-48a5-afa7-90ad77761a6a.png?v=1717320330","Napravite atmosferu po vašoj meri - blutut zvučnik - - led lampa koja menja boje - - bežični punjač- Ulepšava svaki prostor 1. Menjajte boje i intezitet 2. Povežite se telefonom sa uredjajem i slušajte omiljenu muziku 3. Brzo napunite telefon bez kablova Razbijte monotoniju gde god se nalazili Pones","1990.00 RSD"
"8292063314103","Ajkula gliser na daljinski 2u1","https://www.poklonizadecu.com/products/ajkula-gliser-na-daljinski-2u1","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/ajkula-gliser-na-daljinski-poklonizadecu.jpg?v=1781876928","Deca obožavaju brze igračke, ali brzo im dosade obični modeli koji ne nude ništa novo. Roditelji žele nešto uzbudljivo, izdržljivo i dovoljno drugačije da zadrži pažnju mališana duže od nekoliko minuta. Upravo zato ovaj gliser sa maskom ajkule donosi potpuno novu dimenziju igre. Ajkula gliser 2u1 je","3500.00 RSD"
"7884426805431","Akrobacije na motoru","https://www.poklonizadecu.com/products/akrobacije-na-motoru","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/s2_49425c09-1373-47be-8c61-e3b4068b7014.png?v=1729630331","Pripremite se za uzbudljive akrobacije sa našim motorom! Doživite uzbuđenje i radost akrobacija sa ovom fantastičnom igračkom koja će oduševiti Vaše najmlađe! Naš motor na baterije nudi spektakularne trikove, svetlosne efekte i muziku koja će pratiti svaki pokret Vašeg malog akrobate. Vaš mališan će","2899.00 RSD"
"7734501277879","Aparat za kokice bez ulja","https://www.poklonizadecu.com/products/aparat-za-kokice","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/71HMhaMUUuL._AC_UF1000_1000_QL80.jpg?v=1717319860","Pripremite Savršene Kokice Bez Ulja – Zdravo, Brzo i Jednostavno! Kad god pravite kokice, cela kuća se zadimi, neke kokice izgore, a gomila ostane neispucana? Nekad stavite premalo ulja, nekad previše? Sada postoji rešenje – aparat za kokice , koji će vam za samo par minuta pripremiti savršeno ukusn","1990.00 RSD"
"7734517661879","Astronaut projektor sa blututom","https://www.poklonizadecu.com/products/astronaut-projektor-sa-blututom","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/3_bc66e137-a4b0-421c-a144-543d32eaeb4e.png?v=1717320067","Neka vaši najmlađi dožive čarobno galaktičko iskustvo -8 različitih projekcija- -4 nivoa osvetljenje- -2 režima rada(sa zvezdicama i bez)- Napravite magičan ambijent u vašem domu 1.Projektuje galaksije visoke definicije 2.Ulepšava svaki prostor 3.Podiže raspoloženje Ambijent lampa idealna za svaku v","2500.00 RSD"
"7517221257399","Astronaut Projektor Zvezdanog Neba 1+1 GRATIS","https://www.poklonizadecu.com/products/astronaut-projektor-zvezdanog-neba","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/1.png?v=1709028564","Recite Zbogom Noćnim Strahovima Bezbedna i Umirujuća Svetlost za Sladak San 1.Multifunkcionalna Zvezdana Projekcija 2.Edukativni Aspekt 3.Pomagač za Bolji San Neka Vaši Mali Istraživači Otkriju Svemir Podstaknite dečiju maštu i interesovanje za nauku od rane dobi *Savremeni Dizajn-mali i moćan *Pokr","2399.00 RSD"
"7884413239479","AUTIĆ KOJI IDE PO ZIDU","https://www.poklonizadecu.com/products/autic-koji-ide-po-zidu","https://cdn.shopify.com/s/files/1/0622/6382/0471/files/A6_7947ac68-bf4a-4d0f-ad7d-df9b41593c6e.png?v=1729629527","PREDSTAVLJAMO VAM AUTIC KOJI SE SUPROSTAVLJA GRAVITACIJI Ovaj autić se neverovatno dobro i brzo kreće po zidu, kao i po bilo kojoj drugoj površini. Odlično se kreće i po staklu Možete ga voziti i po staklenim površinama bez bojazni da ćete ih oštetiti. Savršen okret Mogućnost okreta za 360 stepeni v","1999.00 RSD"
